Original Sentence 1,Original Sentence 2,Preprocessed Sentence 1,Preprocessed Sentence 2,True Similarity Score,Predicted Similarity Score
"Nilai moral, yaitu nilai yang berkaitan dengan baik buruknya tokoh.
Nilai sosial, yaitu nilai yang berkaitan dengan sikap tokoh dalam hubungannya dengan tokoh lain
Nilai religi, yaitu nilai yang berhubungan dengan hubungan manusia dengan Tuhan.
Nilai budaya, yaitu nilai yang berkaitan dengan kebiasaan masyarakat saat itu.
Nilai pendidikan, yaitu nilai yang berkaitan dengan upaya seseorang mencari ilmu pengetahuan.","Nilai Moral: pemikiran baik atau buruknya seorang tokoh saat menghadapi suatu tantangan, masalah, ataupun hal lainnya, seperti bertanggung jawab saat melakukan sesuatu
Nilai Sosial: hubungan antara tokoh dan masyarakat/orang di sekitarnya dalam cerita tersebut saat sedang berinteraksi
Nilai Religi: memiliki hubungan antara tokoh dan Tuhannya
Nilai Pendidikan: rasa keingintahuan tokohnya, dapat memberi, menerima, ataupun mencari pengetahuan dan informasi",nilai moral  nilai  berkaitan  baik buruknya tokoh nilai sosial  nilai  berkaitan  sikap tokoh  hubungannya  tokoh  nilai religi  nilai  berhubungan  hubungan manusia  tuhan nilai budaya  nilai  berkaitan  kebiasaan masyarakat   nilai pendidikan  nilai  berkaitan  upaya seseorang mencari ilmu pengetahuan,nilai moral pemikiran baik  buruknya seorang tokoh  menghadapi suatu tantangan masalah ataupun  lainnya  bertanggung jawab  melakukan  nilai sosial hubungan  tokoh   sekitarnya  cerita tersebut  sedang berinteraksi nilai religi memiliki hubungan  tokoh  tuhannya nilai pendidikan rasa keingintahuan tokohnya  memberi menerima ataupun mencari pengetahuan  informasi,5.0,2.498835059388754
"Mengatur irama tari, membentuk suasana, mempertegas ungkapan gerak, menginspirasi gerak, mengingatkan gerak, mengidentifikasi tari","1. Memberikan Irama. Pada dasarnya tari terdiri dari gerak-gerak yang berirama mengatur dan menentukan irama sehingga sangat sulit menari jika tanpa musik
2. Memberikan Ilustrasi Tari
3. Rangsangan bagi Penari
4. Membantu Mempertegas Ekspresi Penari",mengatur irama tari membentuk suasana mempertegas ungkapan gerak menginspirasi gerak mengingatkan gerak mengidentifikasi tari,memberikan irama  dasarnya tari terdiri   berirama mengatur  menentukan irama  sangat sulit menari   musik memberikan ilustrasi tari rangsangan  penari membantu mempertegas ekspresi penari,1.5,2.0932894989037285
"berpusat atau bercerita tentang kerajaan (istana sentris), tidak diketahui nama pengarangnya (anonim) mengandung banyak nilai, terutama nilai moral bersifat statis tidak berkembang selalu berakhir dengan kemenangan tokoh utama (bahagia) arkais kemustahilan","berpusat atau bercerita tentang kerajaan atau berhubungan dengan bangsawan, tidak diketahui pengarangnya atau bersifat anonim, mengandung banyak nilai atau pelajaran hidup, menggunakan bahasa arkais (kuno), bersifat statis (tidak berkembang), selalu berakhir dengan kemenangan tokoh utama atau bahagia,  ceritanya mengandung kemustahilan atau mustahil terjadi",berpusat  bercerita  kerajaan istana sentris  diketahui nama pengarangnya anonim mengandung banyak nilai terutama nilai moral bersifat statis  berkembang selalu berakhir  kemenangan tokoh utama bahagia arkais kemustahilan,berpusat  bercerita  kerajaan  berhubungan  bangsawan  diketahui pengarangnya  bersifat anonim mengandung banyak nilai  pelajaran hidup menggunakan bahasa arkais kuno bersifat statis  berkembang selalu berakhir  kemenangan tokoh utama  bahagia ceritanya mengandung kemustahilan  mustahil terjadi,5.0,3.9311275031391926
kegiatan membandingkan nilai besaran yang diukur dengan besaran lain yang sejenis yang telah ditetapkan sebagai satuan.,Mencari informasi yang penting untuk melakukan penelitian,kegiatan membandingkan nilai besaran  diukur  besaran   sejenis   ditetapkan  satuan,mencari informasi  penting  melakukan penelitian,0.0,-0.2965586737842185
suatu cara sistematis yang digunakan untuk mengembangkan dan menemukan suatu ilmu pengetahuan.,untuk mengukur barang-barang kemudian membuat penelitian dalam melakukan sebuah praktek,suatu cara sistematis  digunakan  mengembangkan  menemukan suatu ilmu pengetahuan, mengukur kemudian membuat penelitian  melakukan sebuah praktek,0.0,0.5933511223982824
Riasan yang digunakan untuk mempertajam atau mempertegas garis wajah tanpa menghilangkan bentuk wajah asli penari.,Teknik yang digunakan untuk menciptakan tampilan yang menyerupai penampilan alami seseorang.,riasan  digunakan  mempertajam  mempertegas garis wajah  menghilangkan bentuk wajah asli penari,teknik  digunakan  menciptakan tampilan  menyerupai penampilan alami seseorang,1.0,0.7455755687987708
"berpusat atau bercerita tentang kerajaan (istana sentris), tidak diketahui nama pengarangnya (anonim) mengandung banyak nilai, terutama nilai moral bersifat statis tidak berkembang selalu berakhir dengan kemenangan tokoh utama (bahagia) arkais kemustahilan","bepusat atau bercerita tentang kerajaan, tidak diketahui pengarangnya, memiliki nilai atau pelajaran hidup, tidak berkembang, selalu diakhiri dengan kemenangan tokoh utama, mengandung bahasa arkais, mengandung kemustahilan",berpusat  bercerita  kerajaan istana sentris  diketahui nama pengarangnya anonim mengandung banyak nilai terutama nilai moral bersifat statis  berkembang selalu berakhir  kemenangan tokoh utama bahagia arkais kemustahilan,bepusat  bercerita  kerajaan  diketahui pengarangnya memiliki nilai  pelajaran hidup  berkembang selalu diakhiri  kemenangan tokoh utama mengandung bahasa arkais mengandung kemustahilan,5.0,3.6256222466198276
gerak yang dilakukan sambil berpindah tempat,jenis gerakan yang dilakukan agar tubuh manusia dapat berpindah-pindah tempat,gerak  dilakukan  berpindah tempat,jenis gerakan  dilakukan  tubuh manusia  tempat,1.5,2.1841080755735702
jawaban sementara dari masalah yang diteliti sehingga kebenarannya harus diuji secara empiris.,Jawaban sementara yang masih perlu pembuktian secara empiris. ,jawaban   masalah  diteliti  kebenarannya  diuji  empiris,jawaban    perlu pembuktian  empiris,3.5,1.9446473354758276
"Nilai moral, yaitu nilai yang berkaitan dengan baik buruknya tokoh.
Nilai sosial, yaitu nilai yang berkaitan dengan sikap tokoh dalam hubungannya dengan tokoh lain
Nilai religi, yaitu nilai yang berhubungan dengan hubungan manusia dengan Tuhan.
Nilai budaya, yaitu nilai yang berkaitan dengan kebiasaan masyarakat saat itu.
Nilai pendidikan, yaitu nilai yang berkaitan dengan upaya seseorang mencari ilmu pengetahuan.","Nilai moral, yaitu nilai yang berkaitan dengan baik atau buruknya tokoh
Nilai sosial, yaitu nilai yang berkaitan dengan sikap tokoh dan hubungannya dengan tokoh lain
Nilai budaya, yaitu nilai yang berkaitan dengan kebiasaan tokoh
Nilai pendidikan, yaitu nilai yang berkaitan dengan usaha untuk memperoleh ilmu pengetahuan",nilai moral  nilai  berkaitan  baik buruknya tokoh nilai sosial  nilai  berkaitan  sikap tokoh  hubungannya  tokoh  nilai religi  nilai  berhubungan  hubungan manusia  tuhan nilai budaya  nilai  berkaitan  kebiasaan masyarakat   nilai pendidikan  nilai  berkaitan  upaya seseorang mencari ilmu pengetahuan,nilai moral  nilai  berkaitan  baik  buruknya tokoh nilai sosial  nilai  berkaitan  sikap tokoh  hubungannya  tokoh  nilai budaya  nilai  berkaitan  kebiasaan tokoh nilai pendidikan  nilai  berkaitan  usaha  memperoleh ilmu pengetahuan,4.0,4.385290935190007
"Mengatur irama tari, membentuk suasana, mempertegas ungkapan gerak, menginspirasi gerak, mengingatkan gerak, mengidentifikasi tari","Menambah suasana yang indah, memperindah tarian, dan mengingatkan tempo pada penari-penari.",mengatur irama tari membentuk suasana mempertegas ungkapan gerak menginspirasi gerak mengingatkan gerak mengidentifikasi tari,menambah suasana  indah memperindah tarian  mengingatkan tempo ,1.5,2.182233874223869
kegiatan melihat dan memperhatikan dengan teliti fenomena alam yang akan diamati,suatu kegiatan yang dilakukan ketika sudah melakukan suatu percobaan.,kegiatan melihat  memperhatikan  teliti fenomena alam   diamati,suatu kegiatan  dilakukan   melakukan suatu percobaan,0.0,1.100995394320416
"Rias realistis, rias karakter, rias fantasi, rias usia, rias jenis.","1.rias korektif 
2.rias fantasi 
3.rias karakter 
4.rias tradisional",rias realistis rias karakter rias fantasi rias usia rias jenis,korektif fantasi karakter tradisional,2.0,2.298028383015993
kegiatan membandingkan nilai besaran yang diukur dengan besaran lain yang sejenis yang telah ditetapkan sebagai satuan.,Menghitung panjang pendeknya suatu benda,kegiatan membandingkan nilai besaran  diukur  besaran   sejenis   ditetapkan  satuan,menghitung panjang pendeknya suatu benda,0.5,0.13611616395908244
"Unsur-unsur yang memungkinkan gerak tari menjadi lebih bermakna dan lebih menarik, serta sesuai dengan isi tarian yang dikehendaki penata tari.","unsur yang dimana bukan prioritas dalam tari, hanya melengkapi sebuah tari", memungkinkan gerak tari menjadi lebih bermakna  lebih menarik  sesuai  isi tarian  dikehendaki penata tari,unsur   bukan prioritas  tari  melengkapi sebuah tari,0.0,1.133377826091967
"objektif, metodik, sistematik, berlaku umum","Bertanggung jawab dalam penelitian dan harus terbuka, sopan, dan berpikir kritis",objektif metodik sistematik berlaku umum,bertanggung jawab  penelitian   terbuka sopan  berpikir kritis,1.0,0.9099309465216954
Teori disusun untuk menjelaskan sesautu yang tidak dapat diamati secara langsung dan masih bersifat sementara.,"Untuk menjelaskan, mengamati dengan teliti suatu fenomena alam",teori disusun  menjelaskan sesautu    diamati  langsung   bersifat , menjelaskan mengamati  teliti suatu fenomena alam,0.0,1.0821934215518536
"Merumuskan masalah
Mengumpulkan informasi atau kajian pustaka
Menyusun hipotesis
Merancang dan melakukan eksperimen
Menganalisis data
Membuat simpulan
Menulis laporan ilmiah","Mengidentifikasi masalah, Merumuskan masalah, Membuat hipotesis",merumuskan masalah mengumpulkan informasi  kajian pustaka menyusun hipotesis merancang  melakukan eksperimen menganalisis data membuat simpulan menulis laporan ilmiah,mengidentifikasi masalah merumuskan masalah membuat hipotesis,2.5,2.338951850535713
"Merumuskan masalah
Mengumpulkan informasi atau kajian pustaka
Menyusun hipotesis
Merancang dan melakukan eksperimen
Menganalisis data
Membuat simpulan
Menulis laporan ilmiah","Merumuskan masalah, menyusun hipotesis, mengidentifikasi masalah, mengamati masalah, observasi masalah",merumuskan masalah mengumpulkan informasi  kajian pustaka menyusun hipotesis merancang  melakukan eksperimen menganalisis data membuat simpulan menulis laporan ilmiah,merumuskan masalah menyusun hipotesis mengidentifikasi masalah mengamati masalah observasi masalah,4.5,2.191456440471028
Periode waktu yang dibutuhkan dalam menampilkan tarian.,jumlah waktu dari awal hingga akhir tarian,periode waktu  dibutuhkan  menampilkan tarian,jumlah waktu  awal hingga akhir tarian,3.0,2.119642374107431
"Nilai moral, yaitu nilai yang berkaitan dengan baik buruknya tokoh.
Nilai sosial, yaitu nilai yang berkaitan dengan sikap tokoh dalam hubungannya dengan tokoh lain
Nilai religi, yaitu nilai yang berhubungan dengan hubungan manusia dengan Tuhan.
Nilai budaya, yaitu nilai yang berkaitan dengan kebiasaan masyarakat saat itu.
Nilai pendidikan, yaitu nilai yang berkaitan dengan upaya seseorang mencari ilmu pengetahuan.","Nilai moral
Nilai sosial
Nilai budaya
Nilai edukasi
Nilai religius",nilai moral  nilai  berkaitan  baik buruknya tokoh nilai sosial  nilai  berkaitan  sikap tokoh  hubungannya  tokoh  nilai religi  nilai  berhubungan  hubungan manusia  tuhan nilai budaya  nilai  berkaitan  kebiasaan masyarakat   nilai pendidikan  nilai  berkaitan  upaya seseorang mencari ilmu pengetahuan,nilai moral nilai sosial nilai budaya nilai edukasi nilai religius,2.5,2.9994835625043113
kegiatan melihat dan memperhatikan dengan teliti fenomena alam yang akan diamati,Mengamati fenomena secara teliti,kegiatan melihat  memperhatikan  teliti fenomena alam   diamati,mengamati fenomena  teliti,2.0,2.7245851013169142
Secara langsung yaitu penggambaran tokoh berdasarkan watak yang dimiliki. Secara tidak langsung yaitu sesuai dengan cara tokoh berdialog dalam cerita,pengarang akan dapat menggambarkan watak suatu tokoh dengan cara menggunakan sudut pandang orang ketiga dan bagaimana perilaku serta tutur kata suatu tokoh, langsung  penggambaran tokoh berdasarkan watak  dimiliki   langsung  sesuai  cara tokoh berdialog  cerita,pengarang   menggambarkan watak suatu tokoh  cara menggunakan sudut pandang orang ketiga  bagaimana perilaku  tutur kata suatu tokoh,0.0,1.7359457063798884
Riasan yang digunakan untuk mempertajam atau mempertegas garis wajah tanpa menghilangkan bentuk wajah asli penari.,berfungsi untuk mempertegas atau mempertebal garis-garis wajah,riasan  digunakan  mempertajam  mempertegas garis wajah  menghilangkan bentuk wajah asli penari,berfungsi  mempertegas  mempertebal wajah,2.5,2.38925180027202
gerak yang dianggap tidak mempunyai arti tertentu karena lebih mengutamakan aspek keindahan atau artistik.,gerak tari yg dibuat untuk mendapat kan keindahan tanpa maksud tertentu,gerak  dianggap  mempunyai arti tertentu  lebih mengutamakan aspek keindahan  artistik,gerak tari yg dibuat  mendapat kan keindahan  maksud tertentu,3.5,2.205538778904148
"Mengatur irama tari, membentuk suasana, mempertegas ungkapan gerak, menginspirasi gerak, mengingatkan gerak, mengidentifikasi tari","untuk membuat kesan estetik
memberi irama dan patokan kepada penari
mempertegas gerakan tarian",mengatur irama tari membentuk suasana mempertegas ungkapan gerak menginspirasi gerak mengingatkan gerak mengidentifikasi tari, membuat kesan estetik memberi irama  patokan  penari mempertegas gerakan tarian,1.0,1.770818411683207
gerak yang dilakukan sambil berpindah tempat,suatu gerak yang dilakukan seorang penari yang berpindahan tempat atau keterampilan yang digunakan memindahkan tubuh dari satu ke tempat yang lain,gerak  dilakukan  berpindah tempat,suatu gerak  dilakukan seorang penari  berpindahan tempat  keterampilan  digunakan memindahkan tubuh  satu  tempat  ,5.0,2.08266840126982
"Gerakan berirama atau ritmis, yaitu perpaduan gerakan, baik gerakan yang cepat ke lambat, sedang ke sangat lambat, atau sedang ke sangat cepat.",gerakan yang mengerakan banyak bagian tubuh dengan indah,gerakan berirama  ritmis  perpaduan gerakan baik gerakan  cepat  lambat sedang  sangat lambat  sedang  sangat cepat,gerakan  mengerakan banyak bagian tubuh  indah,0.0,0.6920526924524806
Periode waktu yang dibutuhkan dalam menampilkan tarian.,Durasi seperti waktu yang di tetapkan,periode waktu  dibutuhkan  menampilkan tarian,durasi  waktu   tetapkan,1.0,2.1959029295710875
"Merumuskan masalah
Mengumpulkan informasi atau kajian pustaka
Menyusun hipotesis
Merancang dan melakukan eksperimen
Menganalisis data
Membuat simpulan
Menulis laporan ilmiah",merumuskan masalah mencari tahu penyebab Membuat hipotesis Melakukan percobaan atau eksperimen mengumpulkan data membuat kesimpulan - menyusun menjadi sebuah laporan penelitian,merumuskan masalah mengumpulkan informasi  kajian pustaka menyusun hipotesis merancang  melakukan eksperimen menganalisis data membuat simpulan menulis laporan ilmiah,merumuskan masalah mencari tahu penyebab membuat hipotesis melakukan percobaan  eksperimen mengumpulkan data membuat kesimpulan menyusun menjadi sebuah laporan penelitian,4.0,3.4327515123058534
Cepat lambatnya irama gerak serta hitungan gerak yang dalam hal ini berhubungan langsung dengan musik pengiring tari.,"Kecepatan gerakan yang diiringi oleh musik, yang dapat bervariasi dari lambat hingga cepat sesuai dengan kebutuhan pertunjukan.",cepat lambatnya irama gerak  hitungan gerak     berhubungan langsung  musik pengiring tari,kecepatan gerakan  diiringi  musik   bervariasi  lambat hingga cepat sesuai  kebutuhan pertunjukan,2.0,2.0402864089739694
"pakaian dasar, pakaian kaki, pakaian tubuh, pakaian kepala, aksesori pelengkap.","pakaian dasar, pakaian kaki, pakaian tubuh, pakaian kepala, aksesoris lengkap.",pakaian dasar pakaian kaki pakaian tubuh pakaian kepala aksesori pelengkap,pakaian dasar pakaian kaki pakaian tubuh pakaian kepala aksesoris lengkap,5.0,5.054712834704005
"Mengatur irama tari, membentuk suasana, mempertegas ungkapan gerak, menginspirasi gerak, mengingatkan gerak, mengidentifikasi tari","- agar dapat menentukan tempo dari sebuah musik
- agar dapat membangkitkan suasana penari
- supaya dapat memperdalam sebuah tari",mengatur irama tari membentuk suasana mempertegas ungkapan gerak menginspirasi gerak mengingatkan gerak mengidentifikasi tari,  menentukan tempo  sebuah musik   membangkitkan suasana penari   memperdalam sebuah tari,0.5,1.768400588667078
Keadaan sesungguhnya dari suatu benda atau fenomena alam yang terjadi,Keberadaan sesuatu yang nyata dan benar-benar terjadi.,keadaan sesungguhnya  suatu benda  fenomena alam  terjadi,keberadaan   nyata  terjadi,2.0,1.2457286152063292
"Sendi pelana terdapat pada sambungan antara tulang telapak tangan dan tulang ruas jari
Sendi peluru menghubungkan lengan atas dengan bahu dan juga tulang paha dengan gelang panggul.","Sendi peluru terdapat pada sambungan antara tulang telapak tangan dan tulang ruas jari
Sendi peluru menghubungkan lengan atas dengan bahu dan juga tulang paha dengan gelang Panggul.",sendi pelana terdapat  sambungan  tulang telapak tangan  tulang ruas jari sendi peluru menghubungkan lengan atas  bahu   tulang paha  gelang panggul,sendi peluru terdapat  sambungan  tulang telapak tangan  tulang ruas jari sendi peluru menghubungkan lengan atas  bahu   tulang paha  gelang panggul,5.0,5.325088230145525
"fakta, konsep, prinsip, hukum, rumus, teori, model","Fakta
Konsep
Prinsip
Hukum
Rumus
Teori
Model",fakta konsep prinsip hukum rumus teori model,fakta konsep prinsip hukum rumus teori model,5.0,5.456463652416997
Keadaan sesungguhnya dari suatu benda atau fenomena alam yang terjadi,keadaan sesungguhnya dari suatu benda atau fenomena alam yang terjadi.,keadaan sesungguhnya  suatu benda  fenomena alam  terjadi,keadaan sesungguhnya  suatu benda  fenomena alam  terjadi,5.0,5.456463652416997
gerak yang dianggap tidak mempunyai arti tertentu karena lebih mengutamakan aspek keindahan atau artistik.,Gerak Yang dianggap tidak mempunyai arti tertentu karena lebih mengutamakan aspek keindahan atau artistik.,gerak  dianggap  mempunyai arti tertentu  lebih mengutamakan aspek keindahan  artistik,gerak  dianggap  mempunyai arti tertentu  lebih mengutamakan aspek keindahan  artistik,5.0,5.456463652416997
"Salah saju jenis prosa lama yang menceritakan kehidupan raja, keluarga raja, atau bangsawan.", salah satu bagian dari prosa yang menceritakan tentang kehidupan raja.,salah saju jenis prosa lama  menceritakan kehidupan raja keluarga raja  bangsawan,salah satu bagian  prosa  menceritakan  kehidupan raja,5.0,3.2756882963426
"tulang atau rangka berfungsi sebagai penopang dan pembentuk tubuh, tempat menempelnya otot dan saraf, serta menjadi pelindung organ-organ vital di dalam tubuh.","fungsi utama tulang adalah sebagai penopang bagi tubuh. Tulang merupakan rangka yang membuat Seseorang dapat berdiri dengan kokoh seperti sekarang. Seperti halnya tulang paha yang membantu kaki untuk berjalan dan berdiri. Ada pula tulang punggung agar tubuh bisa tegak, dan sebagainya.",tulang  rangka berfungsi  penopang  pembentuk tubuh tempat menempelnya otot  saraf  menjadi pelindung vital   tubuh,fungsi utama tulang   penopang  tubuh tulang merupakan rangka  membuat seseorang  berdiri  kokoh  sekarang  halnya tulang paha  membantu kaki  berjalan  berdiri   tulang punggung  tubuh  tegak  sebagainya,1.0,1.803787365073728
"Merumuskan masalah
Mengumpulkan informasi atau kajian pustaka
Menyusun hipotesis
Merancang dan melakukan eksperimen
Menganalisis data
Membuat simpulan
Menulis laporan ilmiah",Merumuskan masalah 2. Merumuskan informasi/kajian pustaka 3. Melakukan hipotesis 4. Melakukan eksperimen 5. Menganalisis data 6. Membuat simpulan 7. Menulis Hasil penelitian,merumuskan masalah mengumpulkan informasi  kajian pustaka menyusun hipotesis merancang  melakukan eksperimen menganalisis data membuat simpulan menulis laporan ilmiah,merumuskan masalah merumuskan pustaka melakukan hipotesis melakukan eksperimen menganalisis data membuat simpulan menulis hasil penelitian,4.5,3.9738976788493763
Kumpulan prinsip spesifik yang kebenarannya telah diuji berulang kali dan diterima secara meluas.,prinsip-prinsip khusus atau spesifik.,kumpulan prinsip spesifik  kebenarannya  diuji berulang kali  diterima  meluas,khusus  spesifik,2.0,2.084715044911486
jaringan dalam tubuh manusia yang dapat menggerakkan bagian tertentu pada tubuh manusia.,jaringan dalam tubuh Manusia yang mampu menggerakkan bagian tertentu pada tubuh manusia.,jaringan  tubuh manusia   menggerakkan bagian tertentu  tubuh manusia,jaringan  tubuh manusia  mampu menggerakkan bagian tertentu  tubuh manusia,5.0,4.95120974794563
Riasan yang digunakan untuk mempertajam atau mempertegas garis wajah tanpa menghilangkan bentuk wajah asli penari.,"Riasan yang digunakan untuk mempertajam

atau mempertegas garis wajah tanpa menghilangkan bentuk wajah asli penari.",riasan  digunakan  mempertajam  mempertegas garis wajah  menghilangkan bentuk wajah asli penari,riasan  digunakan  mempertajam  mempertegas garis wajah  menghilangkan bentuk wajah asli penari,5.0,5.456463652416997
kegiatan membandingkan nilai besaran yang diukur dengan besaran lain yang sejenis yang telah ditetapkan sebagai satuan.,kegiatan mengukur sebuah penelitian,kegiatan membandingkan nilai besaran  diukur  besaran   sejenis   ditetapkan  satuan,kegiatan mengukur sebuah penelitian,0.5,0.6346757724202445
gerakan menoleh sambil menekukkan leher ke samping kiri atau kanan.,gerakan menoleh sambil menekukkan leher.,gerakan menoleh  menekukkan leher  samping kiri  kanan,gerakan menoleh  menekukkan leher,2.5,3.70432357781207
gerak yang dilakukan di suatu tempat tanpa berpindah posisi.,Bergerak dengan tidak memindahkan diri ke posisi lain,gerak  dilakukan  suatu tempat  berpindah posisi,bergerak   memindahkan diri  posisi ,3.0,1.690209064948297
"Sendi mati yaitu sendi yang tidak mungkin bergerak.
Sendi tulang rawan atau sendi kaku, yaitu sendi yang memungkinkan terjadinya sedikit gerak antartulang yang terhubung.
Sendi gerak yaitu sendi yang bisa digerakkan dengan bebas.","Sendi mati, sendi pelana, dan sendi peluru.",sendi mati  sendi   mungkin bergerak sendi tulang rawan  sendi kaku  sendi  memungkinkan terjadinya sedikit gerak antartulang  terhubung sendi gerak  sendi   digerakkan  bebas,sendi mati sendi pelana  sendi peluru,0.5,2.7407063033165144
gerak yang dilakukan di suatu tempat tanpa berpindah posisi.,gerak yang dilakukan pada satu tempat atau tidak berpindah-pindah tempat.,gerak  dilakukan  suatu tempat  berpindah posisi,gerak  dilakukan  satu tempat   tempat,5.0,3.022760801802818
"ilmu pengetahuan yang mempelajari gejala alam melalui pengamatan, eksperimen, dan analisis.",ilmu yang mempelajari tentang pengetahuan alam.,ilmu pengetahuan  mempelajari gejala alam melalui pengamatan eksperimen  analisis,ilmu  mempelajari  pengetahuan alam,2.5,2.9868580535814426
"pakaian dasar, pakaian kaki, pakaian tubuh, pakaian kepala, aksesori pelengkap.","- Kostum tradisional
- Kostum kontemporer
- Kostum karakter
- Kostum festival
- Kostum latihan",pakaian dasar pakaian kaki pakaian tubuh pakaian kepala aksesori pelengkap,kostum tradisional kostum kontemporer kostum karakter kostum festival kostum latihan,0.5,0.6799041209549805
Riasan yang digunakan untuk mempertajam atau mempertegas garis wajah tanpa menghilangkan bentuk wajah asli penari.,"rias yang sesuai umur, seperti rias muka kakek-kakek, nenek-nenek",riasan  digunakan  mempertajam  mempertegas garis wajah  menghilangkan bentuk wajah asli penari,rias  sesuai umur  rias muka,0.0,0.9844335167156815
Teori disusun untuk menjelaskan sesuatu yang tidak dapat diamati secara langsung dan masih bersifat sementara.,Untuk meneliti suatu objek yang belum diketahui,teori disusun  menjelaskan     diamati  langsung   bersifat , meneliti suatu objek   diketahui,0.5,0.7506750875128015
